广西组播,#genre#
CCTV1,http://113.17.36.38:5050/udp/239.81.0.102:4056
CCTV2,http://113.17.36.38:5050/udp/239.81.0.115:4056
CCTV3,http://113.17.36.38:5050/udp/239.81.0.231:4056
CCTV4,http://113.17.36.38:5050/udp/239.81.0.96:4056
CCTV5,http://113.17.36.38:5050/udp/239.81.0.232:4056
CCTV5+,http://113.17.36.38:5050/udp/239.81.0.101:4056
CCTV6,http://113.17.36.38:5050/udp/239.81.0.233:4056
CCTV7,http://113.17.36.38:5050/udp/239.81.0.116:4056
CCTV8,http://113.17.36.38:5050/udp/239.81.0.234:4056
CCTV9,http://113.17.36.38:5050/udp/239.81.0.117:4056
CCTV10,http://113.17.36.38:5050/udp/239.81.0.118:4056
CCTV11,http://113.17.36.38:5050/udp/239.81.0.229:4056
CCTV12,http://113.17.36.38:5050/udp/239.81.0.119:4056
CCTV13,http://113.17.36.38:5050/udp/239.81.0.206:4056
CCTV14,http://113.17.36.38:5050/udp/239.81.0.120:4056
CCTV15,http://113.17.36.38:5050/udp/239.81.0.230:4056
CCTV16,http://113.17.36.38:5050/udp/239.81.0.142:4056
CCTV17,http://113.17.36.38:5050/udp/239.81.0.228:4056
广西卫视,http://113.17.36.38:5050/udp/239.81.0.107:4056
广西都市,http://113.17.36.38:5050/udp/239.81.0.247:4056
广西新闻,http://113.17.36.38:5050/udp/239.81.0.248:4056
广西影视,http://113.17.36.38:5050/udp/239.81.0.250:4056
广西综艺,http://113.17.36.38:5050/udp/239.81.0.214:4056
河池新闻,http://113.17.36.38:5050/udp/239.81.0.168:4056
安徽卫视,http://113.17.36.38:5050/udp/239.81.0.211:4056
百色综合,http://113.17.36.38:5050/udp/239.81.0.150:4056
北海新闻,http://113.17.36.38:5050/udp/239.81.0.154:4056
北京卫视,http://113.17.36.38:5050/udp/239.81.0.109:4056
超级体育,http://113.17.36.38:5050/udp/239.81.0.184:4056
东南卫视,http://113.17.36.38:5050/udp/239.81.0.215:4056
动漫,http://113.17.36.38:5050/udp/239.81.0.100:4056
防城港新闻,http://113.17.36.38:5050/udp/239.81.0.151:4056
甘肃卫视,http://113.17.36.38:5050/udp/239.81.0.207:4056
广东卫视,http://113.17.36.38:5050/udp/239.81.0.104:4056
贵港新闻,http://113.17.36.38:5050/udp/239.81.0.172:4056
贵州卫视,http://113.17.36.38:5050/udp/239.81.0.95:4056
桂林新闻,http://113.17.36.38:5050/udp/239.81.0.174:4056
河北卫视,http://113.17.36.38:5050/udp/239.81.0.94:4056
贺州,http://113.17.36.38:5050/udp/239.81.0.163:4056
黑龙江卫视,http://113.17.36.38:5050/udp/239.81.0.105:4056
湖北卫视,http://113.17.36.38:5050/udp/239.81.0.112:4056
湖南卫视,http://113.17.36.38:5050/udp/239.81.0.110:4056
吉林卫视,http://113.17.36.38:5050/udp/239.81.0.143:4056
江苏卫视,http://113.17.36.38:5050/udp/239.81.0.106:4056
江西卫视,http://113.17.36.38:5050/udp/239.81.0.204:4056
金鹰纪实,http://113.17.36.38:5050/udp/239.81.0.91:4056
金鹰卡通,http://113.17.36.38:5050/udp/239.81.0.148:4056
精彩影视,http://113.17.36.38:5050/udp/239.81.0.152:4056
来宾,http://113.17.36.38:5050/udp/239.81.0.173:4056
辽宁卫视,http://113.17.36.38:5050/udp/239.81.0.210:4056
柳州新闻,http://113.17.36.38:5050/udp/239.81.0.175:4056
南宁都市,http://113.17.36.38:5050/udp/239.81.0.139:4056
南宁公共,http://113.17.36.38:5050/udp/239.81.0.141:4056
南宁新闻,http://113.17.36.38:5050/udp/239.81.0.241:4056
南宁影视,http://113.17.36.38:5050/udp/239.81.0.140:4056
亲子,http://113.17.36.38:5050/udp/239.81.0.166:4056
钦州综合,http://113.17.36.38:5050/udp/239.81.0.164:4056
求索纪录,http://113.17.36.38:5050/udp/239.81.0.153:4056
山东卫视,http://113.17.36.38:5050/udp/239.81.0.114:4056
深圳卫视,http://113.17.36.38:5050/udp/239.81.0.103:4056
四川卫视,http://113.17.36.38:5050/udp/239.81.0.130:4056
四海钓鱼,http://113.17.36.38:5050/udp/239.81.0.133:4056
天津卫视,http://113.17.36.38:5050/udp/239.81.0.113:4056
梧州新闻,http://113.17.36.38:5050/udp/239.81.0.176:4056
玉林新闻,http://113.17.36.38:5050/udp/239.81.0.177:4056
浙江卫视,http://113.17.36.38:5050/udp/239.81.0.108:4056
CETV1,http://113.17.36.38:5050/udp/239.81.0.92:4056
CETV4,http://113.17.36.38:5050/udp/239.81.0.188:4056
CHC动作电影,http://113.17.36.38:5050/udp/239.81.0.239:4056
CHC高清电影,http://113.17.36.38:5050/udp/239.81.0.240:4056
CHC家庭影院,http://113.17.36.38:5050/udp/239.81.0.238:4056

CCTV1,http://171.109.210.235:8888/udp/239.81.0.102:4056
CCTV2,http://171.109.210.235:8888/udp/239.81.0.115:4056
CCTV3,http://171.109.210.235:8888/udp/239.81.0.231:4056
CCTV4,http://171.109.210.235:8888/udp/239.81.0.96:4056
CCTV5,http://171.109.210.235:8888/udp/239.81.0.232:4056
CCTV5+,http://171.109.210.235:8888/udp/239.81.0.101:4056
CCTV6,http://171.109.210.235:8888/udp/239.81.0.233:4056
CCTV7,http://171.109.210.235:8888/udp/239.81.0.116:4056
CCTV8,http://171.109.210.235:8888/udp/239.81.0.234:4056
CCTV9,http://171.109.210.235:8888/udp/239.81.0.117:4056
CCTV10,http://171.109.210.235:8888/udp/239.81.0.118:4056
CCTV11,http://171.109.210.235:8888/udp/239.81.0.229:4056
CCTV12,http://171.109.210.235:8888/udp/239.81.0.119:4056
CCTV13,http://171.109.210.235:8888/udp/239.81.0.206:4056
CCTV14,http://171.109.210.235:8888/udp/239.81.0.120:4056
CCTV15,http://171.109.210.235:8888/udp/239.81.0.230:4056
CCTV16,http://171.109.210.235:8888/udp/239.81.0.142:4056
CCTV17,http://171.109.210.235:8888/udp/239.81.0.228:4056
广西卫视,http://171.109.210.235:8888/udp/239.81.0.107:4056
广西都市,http://171.109.210.235:8888/udp/239.81.0.247:4056
广西新闻,http://171.109.210.235:8888/udp/239.81.0.248:4056
广西影视,http://171.109.210.235:8888/udp/239.81.0.250:4056
广西综艺,http://171.109.210.235:8888/udp/239.81.0.214:4056
河池新闻,http://171.109.210.235:8888/udp/239.81.0.168:4056
安徽卫视,http://171.109.210.235:8888/udp/239.81.0.211:4056
百色综合,http://171.109.210.235:8888/udp/239.81.0.150:4056
北海新闻,http://171.109.210.235:8888/udp/239.81.0.154:4056
北京卫视,http://171.109.210.235:8888/udp/239.81.0.109:4056
超级体育,http://171.109.210.235:8888/udp/239.81.0.184:4056
东南卫视,http://171.109.210.235:8888/udp/239.81.0.215:4056
动漫,http://171.109.210.235:8888/udp/239.81.0.100:4056
防城港新闻,http://171.109.210.235:8888/udp/239.81.0.151:4056
甘肃卫视,http://171.109.210.235:8888/udp/239.81.0.207:4056
广东卫视,http://171.109.210.235:8888/udp/239.81.0.104:4056
贵港新闻,http://171.109.210.235:8888/udp/239.81.0.172:4056
