北京联通组播,#genre#
CCTV1,http://222.129.32.251:8888/rtp/239.3.1.129:8008
CCTV2,http://222.129.32.251:8888/rtp/239.3.1.60:8084
CCTV3,http://222.129.32.251:8888/rtp/239.3.1.172:8001
CCTV4,http://222.129.32.251:8888/rtp/239.3.1.105:8092
CCTV5,http://222.129.32.251:8888/rtp/239.3.1.173:8001
CCTV6,http://222.129.32.251:8888/rtp/239.3.1.174:8001
CCTV7,http://222.129.32.251:8888/rtp/239.3.1.61:8104
CCTV8,http://222.129.32.251:8888/rtp/239.3.1.175:8001
CCTV9,http://222.129.32.251:8888/rtp/239.3.1.62:8112
CCTV10,http://222.129.32.251:8888/rtp/239.3.1.63:8116
CCTV14,http://222.129.32.251:8888/rtp/239.3.1.65:8132
CCTV15,http://222.129.32.251:8888/rtp/239.3.1.153:8136
CCTV16,http://222.129.32.251:8888/rtp/239.3.1.184:8001
CCTV17,http://222.129.32.251:8888/rtp/239.3.1.151:8144
体育赛事,http://222.129.32.251:8888/rtp/239.3.1.130:8004
CETV1,http://222.129.32.251:8888/rtp/239.3.1.57:8152
中国环球,http://222.129.32.251:8888/rtp/239.3.1.215:4220
环球纪录,http://222.129.32.251:8888/rtp/239.3.1.216:4220
中文欧洲,http://222.129.32.251:8888/rtp/239.3.1.213:4220
中文美洲,http://222.129.32.251:8888/rtp/239.3.1.214:4220
北京卫视,http://222.129.32.251:8888/rtp/239.3.1.241:8000
北京新闻,http://222.129.32.251:8888/rtp/239.3.1.159:8000
北京影视,http://222.129.32.251:8888/rtp/239.3.1.158:8000
北京财经,http://222.129.32.251:8888/rtp/239.3.1.116:8000
北京生活,http://222.129.32.251:8888/rtp/239.3.1.117:8000
浙江卫视,http://222.129.32.251:8888/rtp/239.3.1.137:8036
江苏卫视,http://222.129.32.251:8888/rtp/239.3.1.135:8028
东方卫视,http://222.129.32.251:8888/rtp/239.3.1.136:8032
山东卫视,http://222.129.32.251:8888/rtp/239.3.1.209:8052
安徽卫视,http://222.129.32.251:8888/rtp/239.3.1.211:8064
湖北卫视,http://222.129.32.251:8888/rtp/239.3.1.138:8044
东南卫视,http://222.129.32.251:8888/rtp/239.3.1.156:8148
广东卫视,http://222.129.32.251:8888/rtp/239.3.1.142:8048
辽宁卫视,http://222.129.32.251:8888/rtp/239.3.1.210:8056
龙江卫视,http://222.129.32.251:8888/rtp/239.3.1.133:8016
深圳卫视,http://222.129.32.251:8888/rtp/239.3.1.134:8020
贵州卫视,http://222.129.32.251:8888/rtp/239.3.1.149:8076
天津卫视,http://222.129.32.251:8888/rtp/239.3.1.141:1234
重庆卫视,http://222.129.32.251:8888/rtp/239.3.1.122:8160
江西卫视,http://222.129.32.251:8888/rtp/239.3.1.123:8164
吉林卫视,http://222.129.32.251:8888/rtp/239.3.1.240:8172
金鹰纪实,http://222.129.32.251:8888/rtp/239.3.1.58:8156
纪实人文,http://222.129.32.251:8888/rtp/239.3.1.212:8060
茶友频道,http://222.129.32.251:8888/rtp/239.3.1.165:8001
快乐垂钓,http://222.129.32.251:8888/rtp/239.3.1.164:8001
高清电影,http://222.129.32.251:8888/rtp/239.3.1.249:8001
北京卫视,http://222.129.32.251:8888/rtp/228.1.1.115:8000
北京新闻,http://222.129.32.251:8888/rtp/228.1.1.189:8000
北京影视,http://222.129.32.251:8888/rtp/228.1.1.190:8000
北京文艺,http://222.129.32.251:8888/rtp/228.1.1.116:8000
北京财经,http://222.129.32.251:8888/rtp/228.1.1.197:8000
北京生活,http://222.129.32.251:8888/rtp/228.1.1.198:8000
北京青年,http://222.129.32.251:8888/rtp/228.1.1.199:8000
北京纪实科教,http://222.129.32.251:8888/rtp/228.1.1.196:8000
北京卡酷少儿,http://222.129.32.251:8888/rtp/228.1.1.195:8000
北京体育,http://222.129.32.251:8888/rtp/228.1.1.117:8000
北京国际,http://222.129.32.251:8888/rtp/228.1.1.111:8000
朝阳,http://222.129.32.251:8888/rtp/228.1.1.140:8001
延庆,http://222.129.32.251:8888/rtp/228.1.1.219:8002
房山,http://222.129.32.251:8888/rtp/228.1.1.139:8001
